Bats-Falcons.and.Hawks,7,10,4,10
Bats-Falcons.and.Hawks,3,0,2,0
Bats-Falcons.and.Hawks,0,1,1,2
Bats-Falcons.and.Hawks,18,9,7,7
Bats-Lagomorphs,6,9,0,3
Bats-Large.Carnivores,52,34,24,18
Bats-Large.Carnivores,0,1,1,0
Bats-Large.Carnivores,17,8,8,7
Bats-Large.Rodents,8,6,0,3
Bats-Owls,7,6,0,3
Bats-Owls,2,1,0,0
Bats-Pigeons.and.Doves,22,15,23,47
Bats-Pigeons.and.Doves,2,0,4,7
Bats-Pigeons.and.Doves,91,80,183,373
Bats-Pigeons.and.Doves,6,2,13,45
Bats-Seabirds.and.Shorebirds,6,7,0,3
Bats-Seabirds.and.Shorebirds,27,9,12,10
Bats-Seabirds.and.Shorebirds,3,2,1,3
Bats-Small.Carnivores,39,12,6,7
Bats-Small.Carnivores,181,128,110,132
Bats-Small.Carnivores,4,1,0,3
Bats-Small.Rodents.and.Moles,133,162,183,288
Bats-Small.Rodents.and.Moles,24,14,16,19
Bats-Small.Rodents.and.Moles,3,6,12,14
Bats-Songbirds,2,0,1,0
Bats-Songbirds,3,1,0,0
Bats-Waterfowl.and.Waders,13,10,5,5
Bats-Waterfowl.and.Waders,18,9,11,8
Bats-Waterfowls.and.Waders,7,5,5,0
Falcons.and.Hawks-Lagomorphs,5,7,4,7
Falcons.and.Hawks-Large.Carnivores,51,32,28,22
Falcons.and.Hawks-Large.Carnivores,0,0,2,2
Falcons.and.Hawks-Large.Carnivores,0,0,2,2
Falcons.and.Hawks-Large.Carnivores,1,1,1,0
Falcons.and.Hawks-Large.Rodents,7,4,4,7
Falcons.and.Hawks-Owls,6,4,4,7
Falcons.and.Hawks-Owls,1,1,2,0
Falcons.and.Hawks-Pigeons.and.Doves,21,13,27,51
Falcons.and.Hawks-Pigeons.and.Doves,1,0,6,7
Falcons.and.Hawks-Pigeons.and.Doves,75,73,176,366
Falcons.and.Hawks-Pigeons.and.Doves,6,1,14,47
Falcons.and.Hawks-Pigeons.and.Doves,39,23,62,117
Falcons.and.Hawks-Seabirds.and.Shorebirds,5,5,4,7
Falcons.and.Hawks-Seabirds.and.Shorebirds,0,0,2,2
Falcons.and.Hawks-Seabirds.and.Shorebirds,11,2,5,3
Falcons.and.Hawks-Seabirds.and.Shorebirds,3,1,2,5
Falcons.and.Hawks-Small.Carnivores,38,10,10,11
Falcons.and.Hawks-Small.Carnivores,165,121,103,125
Falcons.and.Hawks-Small.Carnivores,4,0,1,5
Falcons.and.Hawks-Small.Carnivores,5,7,4,10
Falcons.and.Hawks-Small.Rodents.and.Moles,132,160,187,292
Falcons.and.Hawks-Small.Rodents.and.Moles,8,7,9,12
Falcons.and.Hawks-Small.Rodents.and.Moles,3,5,13,16
Falcons.and.Hawks-Small.Rodents.and.Moles,6,8,5,7
Falcons.and.Hawks-Songbirds,1,0,3,0
Falcons.and.Hawks-Songbirds,3,0,1,2
Falcons.and.Hawks-Songbirds,4,0,3,5
Falcons.and.Hawks-Waterfowl.and.Waders,12,8,9,9
Falcons.and.Hawks-Waterfowl.and.Waders,2,2,4,1
Falcons.and.Hawks-Waterfowl.and.Waders,5,2,4,3
Falcons.and.Hawks-Waterfowls.and.Waders,7,4,6,2
Lagomorphs-Large.Carnivores,50,31,24,15
Lagomorphs-Large.Rodents,6,3,0,0
Lagomorphs-Owls,5,3,0,0
Lagomorphs-Pigeons.and.Doves,20,12,23,44
Lagomorphs-Seabirds.and.Shorebirds,4,4,0,0
Lagomorphs-Small.Carnivores,37,9,6,4
Lagomorphs-Small.Rodents.and.Moles,131,159,183,285
Lagomorphs-Waterfowl.and.Waders,11,7,5,2
Large.Carnivores-Large.Rodents,52,28,24,15
Large.Carnivores-Owls,51,28,24,15
Large.Carnivores-Pigeons.and.Doves,66,37,47,59
Large.Carnivores-Pigeons.and.Doves,6,1,14,45
Large.Carnivores-Pigeons.and.Doves,39,23,62,115
Large.Carnivores-Pigeons.and.Doves,74,72,177,366
Large.Carnivores-Seabirds.and.Shorebirds,50,29,24,15
Large.Carnivores-Seabirds.and.Shorebirds,0,0,2,0
Large.Carnivores-Seabirds.and.Shorebirds,10,1,6,3
Large.Carnivores-Seabirds.and.Shorebirds,3,1,2,3
Large.Carnivores-Small.Carnivores,83,34,30,19
Large.Carnivores-Small.Carnivores,4,0,1,3
Large.Carnivores-Small.Carnivores,5,7,4,8
Large.Carnivores-Small.Carnivores,164,120,104,125
Large.Carnivores-Small.Rodents.and.Moles,177,184,207,300
Large.Carnivores-Small.Rodents.and.Moles,3,5,13,14
Large.Carnivores-Small.Rodents.and.Moles,6,8,5,5
Large.Carnivores-Small.Rodents.and.Moles,7,6,10,12
Large.Carnivores-Songbirds,3,0,1,0
Large.Carnivores-Songbirds,4,0,3,3
Large.Carnivores-Waterfowl.and.Waders,57,32,29,17
Large.Carnivores-Waterfowl.and.Waders,5,2,4,1
Large.Carnivores-Waterfowl.and.Waders,1,1,5,1
Large.Carnivores-Waterfowls.and.Waders,7,4,6,0
Large.Rodents-Owls,7,0,0,0
Large.Rodents-Pigeons.and.Doves,29,10,37,65
Large.Rodents-Pigeons.and.Doves,22,9,23,44
Large.Rodents-Seabirds.and.Shorebirds,6,1,0,0
Large.Rodents-Small.Carnivores,1,1,0,1
Large.Rodents-Small.Carnivores,39,6,6,4
Large.Rodents-Small.Rodents.and.Moles,133,156,183,285
Large.Rodents-Songbirds,5,6,2,5
Large.Rodents-Waterfowl.and.Waders,13,4,5,2
Owls-Pigeons.and.Doves,21,9,23,44
Owls-Pigeons.and.Doves,0,1,4,7
Owls-Seabirds.and.Shorebirds,5,1,0,0
Owls-Small.Carnivores,38,6,6,4
Owls-Small.Rodents.and.Moles,132,156,183,285
Owls-Songbirds,0,1,1,0
Owls-Waterfowl.and.Waders,12,4,5,2
Pigeons.and.Doves-Seabirds.and.Shorebirds,20,10,23,44
Pigeons.and.Doves-Seabirds.and.Shorebirds,9,2,14,48
Pigeons.and.Doves-Seabirds.and.Shorebirds,39,23,62,115
Pigeons.and.Doves-Seabirds.and.Shorebirds,84,73,181,369
Pigeons.and.Doves-Small.Carnivores,28,11,37,66
Pigeons.and.Doves-Small.Carnivores,53,15,29,48
Pigeons.and.Doves-Small.Carnivores,10,1,13,48
Pigeons.and.Doves-Small.Carnivores,44,30,64,123
Pigeons.and.Doves-Small.Carnivores,238,192,279,491
Pigeons.and.Doves-Small.Rodents.and.Moles,147,165,206,329
Pigeons.and.Doves-Small.Rodents.and.Moles,9,6,25,59
Pigeons.and.Doves-Small.Rodents.and.Moles,45,31,65,120
Pigeons.and.Doves-Small.Rodents.and.Moles,81,78,185,378
Pigeons.and.Doves-Songbirds,32,16,39,70
Pigeons.and.Doves-Songbirds,0,1,1,0
Pigeons.and.Doves-Songbirds,9,1,13,45
Pigeons.and.Doves-Songbirds,43,23,63,118
Pigeons.and.Doves-Waterfowl.and.Waders,27,13,28,46
Pigeons.and.Doves-Waterfowl.and.Waders,13,5,18,45
Pigeons.and.Doves-Waterfowl.and.Waders,44,25,64,116
Pigeons.and.Doves-Waterfowl.and.Waders,75,73,180,367
Seabirds.and.Shorebirds-Small.Carnivores,37,7,6,4
Seabirds.and.Shorebirds-Small.Carnivores,174,121,108,128
Seabirds.and.Shorebirds-Small.Carnivores,5,7,4,8
Seabirds.and.Shorebirds-Small.Carnivores,7,1,1,6
Seabirds.and.Shorebirds-Small.Rodents.and.Moles,131,157,183,285
Seabirds.and.Shorebirds-Small.Rodents.and.Moles,17,7,14,15
Seabirds.and.Shorebirds-Small.Rodents.and.Moles,6,8,5,5
Seabirds.and.Shorebirds-Small.Rodents.and.Moles,6,6,13,17
Seabirds.and.Shorebirds-Songbirds,4,0,3,3
Seabirds.and.Shorebirds-Songbirds,6,1,1,3
Seabirds.and.Shorebirds-Waterfowl.and.Waders,11,5,5,2
Seabirds.and.Shorebirds-Waterfowl.and.Waders,11,2,9,4
Seabirds.and.Shorebirds-Waterfowl.and.Waders,5,2,4,1
Seabirds.and.Shorebirds-Waterfowl.and.Waders,10,5,6,3
Small.Carnivores-Small.Rodents.and.Moles,164,162,189,289
Small.Carnivores-Small.Rodents.and.Moles,7,5,12,17
Small.Carnivores-Small.Rodents.and.Moles,11,15,7,13
Small.Carnivores-Small.Rodents.and.Moles,171,126,112,137
Small.Carnivores-Songbirds,7,0,0,3
Small.Carnivores-Songbirds,9,7,5,11
Small.Carnivores-Songbirds,4,7,2,6
Small.Carnivores-Waterfowl.and.Waders,44,10,11,6
Small.Carnivores-Waterfowl.and.Waders,11,4,5,3
Small.Carnivores-Waterfowl.and.Waders,10,9,6,9
Small.Carnivores-Waterfowl.and.Waders,165,121,107,126
Small.Rodents.and.Moles-Songbirds,6,5,12,14
Small.Rodents.and.Moles-Songbirds,10,8,6,8
Small.Rodents.and.Moles-Waterfowl.and.Waders,138,160,188,287
Small.Rodents.and.Moles-Waterfowl.and.Waders,10,9,17,14
Small.Rodents.and.Moles-Waterfowl.and.Waders,11,10,7,6
Small.Rodents.and.Moles-Waterfowl.and.Waders,8,7,13,13
Songbirds-Waterfowl.and.Waders,10,4,5,0
Songbirds-Waterfowl.and.Waders,9,2,5,4
